taxa,PC1,PC2
Bailey,-9.7367302439337,0.68960634292788
BaileyII,-4.9017374506043,-15.9559298318471
BaileyIIClones,-5.08763489241051,-16.0563064805355
Comrade,7.21709388575606,-4.10706850086105
Emery,-8.58013360099252,0.554741949032268
GPNC343,-10.5173125952547,2.62452874523332
Gregory,36.3697627489515,-0.112445660506215
N05006,33.0683110915254,1.05519190682585
N10066,2.69775241602683,7.07777798072367
N11055,15.7784795704212,1.35426061245131
N12009,-5.95509561722048,-14.9956605627387
N13031,16.0547415114486,1.91191083235199
N13042,-11.363338200436,10.8556463633258
N13051,-11.2283633895081,10.4527875029698
N14001,-3.40543872246558,-4.93709861148027
N14002,-4.45720825721288,-7.44703925039565
N14004,-4.80050833322737,-3.35139744309085
N14007,-2.22063959713663,-5.92606170898058
N14009,1.62521457852127,-7.57603734041
N14017,-0.912075964909811,-4.30014681217508
N14027,-9.31677882358345,1.55160301443606
N14039,-6.52109720572802,14.0989515022825
N15017,-5.60422554745111,-4.25356120006478
N15039,-4.78385653610914,-8.48275504130369
N15041,-9.8049093484026,0.515963964051367
N15044,-10.6546225933289,0.774842207452909
N15053,-4.47110193272117,-2.64397648612374
N15060,11.5474338083577,3.55564299499762
N15066,9.75200670433662,3.4049207662163
N16005,-1.03823543962168,3.57092496335511
N16011,5.75076129389319,-1.12182367547264
N16012,-6.52778742279213,-4.34871683426613
N16021,-10.0807637110873,-0.946884498758984
N16028,-6.70077832516282,-3.38416158408449
N16030,-7.07122409924683,-2.95757483538455
N16032,-6.83680868892923,13.5198934876627
N16034,3.59218268463487,-1.33349671101677
N16035,-7.74320800732224,-2.21569867969175
N16050,-9.39222310236353,-1.53126701455451
N16055,-9.748495616214,-1.2688082417576
N17036,-5.49994996347917,-3.61652058698475
N17037,-5.86586438129372,-2.10100559142965
N17039,-5.23129466124067,-12.6649220621423
N17040,-5.24120320149622,-12.7257726802889
N17041,-5.64298615453109,-10.9778313711352
N17042,-6.23101618224537,-10.5268169884709
N17044,11.3023620590905,-0.264588681906019
N17045,-7.53258676394723,-8.07636860982182
N17046,-8.83872023874991,5.94633959836005
N17047,-7.75592881877704,-8.22940155958456
N18002,9.39498657936939,2.51377002080442
N18010,-7.03102547538501,1.79164658797638
N18011,0.127911170465916,4.74025931595636
N18012,-4.99024367356553,3.49909426890038
N18015,-6.95293700695962,-4.01023403249325
N18018,7.03583030610495,-0.178201978477665
N18026,9.49131149359556,-11.7426358600863
N18029,-6.34199000444886,1.13656358608413
N18033,-6.49074635210038,1.45212071732362
N18034,-9.09643085497518,5.86301270693023
N18035,-5.11705664523997,5.77103073312322
N18036,-5.20430794362266,6.33826177927898
N18037,-5.60359134272814,7.90442196984205
N18038,-5.28012143659536,6.18502670797792
N18039,-4.44276647079424,4.44719864987865
N18040,8.03180386407478,-0.257940452022113
N18041,7.68872286087083,3.49482084005745e-05
N18042,16.0053940978607,4.02076661098615
N18043,3.5229540045831,0.779124085761907
N18044,11.7866336668071,6.50549415581722
N18045,11.8628583946275,7.28112312426191
N18047,-5.60770185815497,0.475981586090294
N18048,-5.70089993633534,0.68422570419612
N18049,-5.3612673256673,-4.76462846766312
N18050,2.89041517196727,-10.8292556149804
N18051,3.65996811621979,-10.2861937475509
N18053,3.6805867506861,-10.2917809926513
N18055,12.7171825488952,3.18461064260544
N19001,-6.37077702170335,-2.82201700291863
N19002,8.9834102271423,1.30111853991452
N19003,29.4098256559885,1.15649063802244
N19004,7.70325959057651,1.77787385011273
N19005,10.0011699881488,-0.190490844264758
N19006,10.8252023274486,0.468613709511244
N19007,8.48382956141564,1.71812069557259
N19008,-5.62090987565963,-4.05555271405416
N19009,-5.5721546544304,-10.2404663485764
N19010,-6.28604671450423,-9.57992122967357
N19011,-6.73026861256904,1.65201833126238
N19012,-3.54966356422261,-9.88550723497342
N19013,-1.7714853316198,9.50881680442352
N19014,3.98546545778231,12.4342502997433
N19015,5.12037850506905,7.46265090242596
N19016,5.72711237788883,7.26494130369788
N19017,-8.88406937169717,6.07314717166251
N19018,-9.06872049370427,5.53138698301702
N19019,-8.88142210654031,5.82883106449658
N19020,-4.22638235670863,2.07979376630919
N19021,6.12323241410891,0.43691528319984
N19022,13.3314154171432,1.44281377823406
N19023,-5.70696603866312,-1.53546839108659
N19024,-5.85139662556642,-1.48075693627798
N19025,-6.20300777159569,-1.49516741697527
N19026,-6.48616259424049,-1.84783271130704
N19027,-6.45854599732955,-1.61450360912378
N19028,-6.21752765517053,-1.43714119939087
N19029,-5.96969063143768,0.756378608285978
N19030,-6.23654254892692,1.54552630768392
N19031,-3.95969732448043,18.6131322272137
N19032,-11.236136451222,10.78774430963
N19033,-11.511045958208,10.4688814293152
N19034,-11.2020433098259,10.5848963552623
N19035,-6.30661107850526,-1.65278264594456
N19036,-11.2184266830154,7.53225036934245
N19037,-10.9517056120374,9.37671054118114
N19038,-11.0391404334512,9.34597198744469
N19039,-11.1106005672386,9.434361705575
N19040,-11.2063029210566,10.5387180464766
N19041,-11.2562539946628,10.3489626524621
N19042,-2.39849194843403,19.4233685540375
N19043,-2.33960596001553,19.6486446016837
N19044,-2.85372019122258,16.0666683774731
N19045,-4.18314962066469,18.2421056914411
N19046,-3.02522727706243,17.7172753786336
N19047,1.39240059299577,9.45135568890582
N19048,-3.77742545978008,18.74836727071
N19049,-8.72471630132904,10.6043055003938
N19050,-8.07135958714695,3.88558224095467
N21001,9.65258757573945,-2.29081430404794
N21002,-5.0617177900503,-6.8746268021402
N21003,-4.55037814700858,0.981407897105263
N21004,0.56367051392593,-3.10484649709827
N21005,-2.73428672169224,-2.738282036754
N21006,-3.59668154357334,-2.80214510634113
N21007,13.914367994634,-5.71189467465368
N21008,7.20766948904394,-7.40259663920009
N21009,-1.14743921518778,-10.31706379791
N21010,-6.10582015151628,-5.62226674687093
N21011,-3.93815291731389,-6.6257115114852
N21012,-6.67143018819117,10.7725461827162
N21013,-3.61839719240564,5.57912760902881
N21014,4.08206660394784,2.12949105182303
N21015,-6.26639160001762,-1.4814831184103
N21016,22.0377611951377,5.9326345585795
N21017,23.1852360953777,6.89034644166136
N21018,5.56543864139804,7.19462460294019
N21019,7.75895077219606,1.71122333530449
N21020,6.40758328292662,7.57158482595742
N21021,7.29429734186385,6.08104570390292
N21022,5.06311570995879,3.67566714210298
N21023,-5.83104442394883,-1.44528701523121
N21024,-5.33317686022945,-0.741054229667219
N21025,-5.01856252810441,-15.6674835828543
N21026,-4.88977322053205,-15.7852893894891
N21027,-5.8911761352231,-15.0645923835913
N21028,-5.85417214952423,-14.8726969891185
N21029,-5.83342161224767,-14.8705138135226
N21030,-6.02453553686934,-14.8118240959252
N21031,-2.44546550963657,-13.0173714201978
N21032,-3.9861090174192,-14.2016682822736
N21033,-2.80435466711366,19.1666158808961
N21034,0.543975967013656,-15.2995194247053
N21035,-5.30174350970312,-15.290610705617
N21036,-5.2517352552443,-15.2786178233573
N21037,-4.77938165013109,-8.36558105474254
N21038,0.864617653321261,-15.4519454342118
N21039,-0.209638934371795,-15.5055920607499
N21040,1.26581916507599,-16.1093958516185
N21041,-3.52714915524238,4.22501901060951
N21042,-3.37599158800802,5.21643084170468
N21043,0.728590877271428,-3.68832416338077
N21044,1.18285413331021,-3.21032876419497
N96076L,34.7445962080252,-3.33949608512706
NC20,-11.315569316522,10.5995316564332
NCV11,36.1928269006284,-0.116008809548243
PI497429,32.9233898862312,-1.45138404271255
PI576636,36.3311614920962,-2.04875740547217
Perry,6.43330040144844,-1.87664179146974
SPT0701,36.291121086329,-1.65680462153138
SPT1012ol,9.8761871045906,3.18781120439597
Sullivan,-6.71196827554329,11.5036796125506
Tifguard,31.7444171440959,6.23699330881212
Walton,32.0508861632263,2.1867246725108
Wynne,-6.58381747768558,-5.4166540984285
